star_name,event_id,frequency,time,amplitude,uncertainty,snr,intensity,pol_amplitude,3_sigma_limit,max_pol_fraction
J194951-3635.4,26, f090,1618583513.0,93.3,26.5,3.520754716981132,93.3,43.87,66.94,0.7174
J194951-3635.4,26, f150,1618644484.0,98.1,30.3,3.2376237623762374,98.1,8.36,68.16,0.6948
J194951-3635.4,26, f090,1618644486.0,146.0,24.8,5.887096774193548,146.0,43.87,66.94,0.4585
J194951-3635.4,26, f090,1618925919.0,104.2,27.4,3.802919708029197,104.2,30.33,83.2,0.7985
J194951-3635.4,26, f090,1618986911.0,88.2,25.4,3.4724409448818903,88.2,71.96,76.98,0.8727
J194951-3635.4,26, f090,1619333087.0,100.9,28.9,3.4913494809688586,100.9,50.1,74.02,0.7336
J194951-3635.4,26, f090,1619419219.0,73.8,24.2,3.049586776859504,73.8,50.1,74.02,1.003
J194951-3635.4,26, f150,1620305279.0,98.6,32.4,3.0432098765432096,98.6,14.05,85.77,0.8699
J194951-3635.4,26, f090,1620367020.0,118.3,27.6,4.286231884057971,118.3,6.94,73.97,0.6253
J194951-3635.4,26, f150,1620563781.0,123.2,30.5,4.039344262295082,123.2,48.18,86.03,0.6983
J194951-3635.4,26, f090,1620563787.0,157.4,26.0,6.053846153846154,157.4,13.29,74.78,0.4751
J194951-3635.4,26, f150,1621054832.0,189.0,46.7,4.047109207708779,189.0,45.77,82.37,0.4358
J194951-3635.4,26, f150,1621254552.0,198.5,48.2,4.118257261410788,198.5,45.77,82.37,0.415
J194951-3635.4,26, f090,1621254586.0,146.5,25.0,5.86,146.5,23.44,83.93,0.5729
J194951-3635.4,26, f150,1621339199.0,185.8,54.0,3.440740740740741,185.8,57.97,73.02,0.393
J194951-3635.4,26, f150,1621339266.0,163.6,29.7,5.508417508417509,163.6,57.97,73.02,0.4463
J194951-3635.4,26, f090,1621339267.0,171.3,25.8,6.6395348837209305,171.3,38.78,71.13,0.4152
J194951-3635.4,26, f150,1621400983.0,194.0,30.8,6.298701298701299,194.0,57.97,73.02,0.3764
J194951-3635.4,26, f090,1621400987.0,221.5,25.1,8.824701195219124,221.5,38.78,71.13,0.3211
J194951-3635.4,26, f150,1621401017.0,231.0,47.4,4.8734177215189876,231.0,57.97,73.02,0.3161
J194951-3635.4,26, f090,1621830317.0,312.0,25.9,12.046332046332047,312.0,38.89,73.97,0.2371
J194951-3635.4,26, f150,1621830334.0,224.2,34.2,6.5555555555555545,224.2,53.15,81.77,0.3647
J194951-3635.4,26, f150,1621830336.0,235.6,51.3,4.592592592592593,235.6,53.15,81.77,0.3471
