Star Name,Band,Intensity (mJy),Pol Amplitude (mJy),3-Sigma Limit (mJy),Max Pol Fraction (%)
J035829-5446.6,f150,233.6,9.11,77.56,0.332
J035829-5446.6,f090,123.6,2.96,67.35,0.5449
J035829-5446.6,f150,173.8,9.11,77.56,0.4463
J035829-5446.6,f150,197.9,27.64,79.77,0.4031
J035829-5446.6,f090,137.6,16.89,79.6,0.5785
J035829-5446.6,f150,139.6,27.64,79.77,0.5714
J035829-5446.6,f220,215.2,48.1,215.24,1.0002
J173353+1655.1,f150,1070.1,20.58,50.05,0.0468
J173353+1655.1,f090,1004.1,9.56,44.91,0.0447
J173353+1655.1,f220,735.2,116.78,173.5,0.236
J173353+1655.1,f150,1077.4,20.58,50.05,0.0465
J173353+1655.1,f040,623.4,187.53,188.55,0.3025
J173353+1655.1,f040,395.9,187.53,188.55,0.4763
J173353+1655.1,f150,150.2,20.58,50.05,0.3332
J173353+1655.1,f150,201.2,20.58,50.05,0.2487
J173353+1655.1,f090,300.4,9.56,44.91,0.1495
J165122-0050.1,f090,78.6,32.96,56.58,0.7198
J035829-5446.6,f090,193.6,13.37,89.94,0.4645
J035829-5446.6,f150,133.1,72.9,114.53,0.8605
J035829-5446.6,f090,133.1,28.4,91.6,0.6882
J204746-3635.7,f220,222.0,272.12,241.06,1.0859
J204746-3635.7,f030,491.2,65.01,317.36,0.6461
J204746-3635.7,f150,414.1,98.61,160.86,0.3885
J204746-3635.7,f150,437.8,98.61,160.86,0.3674
J204746-3635.7,f030,462.9,321.23,393.27,0.8496
J194951-3635.4,f150,110.3,28.71,63.65,0.5771
J194951-3635.4,f090,85.8,18.03,59.19,0.6899
J194951-3635.4,f090,154.2,47.66,86.47,0.5608
J194951-3635.4,f090,141.6,10.45,101.01,0.7133
J194951-3635.4,f090,93.3,43.87,66.94,0.7174
J194951-3635.4,f150,98.1,8.36,68.16,0.6948
J194951-3635.4,f090,146.0,43.87,66.94,0.4585
J194951-3635.4,f090,104.2,30.33,83.2,0.7985
J194951-3635.4,f090,88.2,71.96,76.98,0.8727
J194951-3635.4,f090,100.9,50.1,74.02,0.7336
J194951-3635.4,f090,73.8,50.1,74.02,1.003
J194951-3635.4,f150,98.6,14.05,85.77,0.8699
J194951-3635.4,f090,118.3,6.94,73.97,0.6253
J194951-3635.4,f150,123.2,48.18,86.03,0.6983
J194951-3635.4,f090,157.4,13.29,74.78,0.4751
J194951-3635.4,f150,189.0,45.77,82.37,0.4358
J194951-3635.4,f150,198.5,45.77,82.37,0.415
J194951-3635.4,f090,146.5,23.44,83.93,0.5729
J194951-3635.4,f150,185.8,57.97,73.02,0.393
J194951-3635.4,f150,163.6,57.97,73.02,0.4463
J194951-3635.4,f090,171.3,38.78,71.13,0.4152
J194951-3635.4,f150,194.0,57.97,73.02,0.3764
J194951-3635.4,f090,221.5,38.78,71.13,0.3211
J194951-3635.4,f150,231.0,57.97,73.02,0.3161
J194951-3635.4,f090,312.0,38.89,73.97,0.2371
J194951-3635.4,f150,224.2,53.15,81.77,0.3647
J194951-3635.4,f150,235.6,53.15,81.77,0.3471
J194951-3635.4,f040,225.9,98.68,196.41,0.8694
J194951-3635.4,f150,248.7,53.15,81.77,0.3288
J194951-3635.4,f090,324.9,38.89,73.97,0.2277
J194951-3635.4,f150,252.1,53.15,81.77,0.3244
J194951-3635.4,f090,280.0,10.74,102.42,0.3658
J194951-3635.4,f040,295.5,115.15,289.53,0.9798
J033646+0035.1,f150,261.4,54.46,110.01,0.4208
J033646+0035.1,f090,625.0,14.98,103.92,0.1663
J033646+0035.1,f150,351.2,54.46,110.01,0.3132
J033646+0035.1,f090,318.4,25.6,99.76,0.3133
J033646+0035.1,f150,143.5,100.68,124.9,0.8704
J001309+0535.5,f090,157.6,68.3,111.52,0.7076
J001309+0535.5,f150,168.7,38.9,116.79,0.6923
J001309+0535.5,f150,259.0,38.9,116.79,0.4509
