Star Name,Event ID,Band,Intensity (mJy),Pol Amplitude (mJy),3-Sigma Limit (mJy),Max Pol Fraction
J203622+1215.6,3,f090,213.4,17.52,68.24,0.3198
J203622+1215.6,3,f090,144.0,17.52,68.24,0.4739
J203622+1215.6,3,f150,133.7,55.36,76.49,0.5721
J204746-3635.7,25,f220,222.0,272.12,241.06,1.0859
J204746-3635.7,25,f030,491.2,65.01,317.36,0.6461
J204746-3635.7,25,f150,414.1,98.61,160.86,0.3885
J204746-3635.7,25,f150,437.8,98.61,160.86,0.3674
J204746-3635.7,25,f030,462.9,321.23,393.27,0.8496
J224500-3315.4,4,f220,231.3,35.43,89.91,0.3887
J224500-3315.4,4,f090,243.4,10.7,18.35,0.0754
J224500-3315.4,4,f150,170.2,9.13,21.99,0.1292
J224500-3315.4,4,f150,176.1,9.13,21.99,0.1249
J224500-3315.4,4,f150,225.3,9.13,21.99,0.0976
J224500-3315.4,4,f090,239.4,10.7,18.35,0.0766
J224500-3315.4,4,f150,151.1,30.81,50.28,0.3328
J224500-3315.4,4,f150,94.5,30.81,50.28,0.5321
J225302+1650.2,5,f090,79.3,24.28,39.35,0.4962
J225302+1650.2,5,f150,74.7,42.42,50.01,0.6695
J225302+1650.2,5,f090,60.8,14.4,52.99,0.8716
J225302+1650.2,5,f090,235.5,4.16,52.45,0.2227
J225302+1650.2,5,f150,129.3,50.22,83.32,0.6444
J225302+1650.2,5,f090,210.8,4.16,52.45,0.2488
J225302+1650.2,5,f090,74.7,64.51,91.95,1.2309
J225302+1650.2,5,f150,163.5,27.29,47.28,0.2892
J225302+1650.2,5,f090,251.5,19.74,40.91,0.1626
J225302+1650.2,5,f150,214.1,27.29,47.28,0.2208
J225302+1650.2,5,f150,132.4,27.29,47.28,0.3571
J225302+1650.2,5,f090,169.6,19.74,40.91,0.2412
J225302+1650.2,5,f090,70.9,22.41,41.06,0.5791
J225302+1650.2,5,f090,72.4,46.44,60.65,0.8377
J225302+1650.2,5,f090,75.3,46.44,60.65,0.8054
J225302+1650.2,5,f090,79.1,9.17,47.36,0.5987
J225302+1650.2,5,f090,59.1,34.53,43.93,0.7433
J225302+1650.2,5,f090,74.7,104.51,78.47,1.0505
J225302+1650.2,5,f090,59.1,23.55,41.43,0.7011
